CO_PROCEDIMENTO,Descricao,ValorTUNEP,TP_PROCEDIMENTO
210010118,ARTERIOGRAFIA PARA INVESTIGACAO ISQUEMIA CEREBRAL,"504,33",H
210010126,AORTOGRAFIA,"298,27",H
210010134,ARTERIOGRAFIAS SELETIVAS,"314,06",H
210010150,ARTERIOGRAFIA VERTEBRAL,"314,06",H
210010169,ESPLENOPORTOGRAFIA,"240,00",H
211020010,ESTUDO HEMODINAMICO,"823,11",H
211020028,ESTUDO HEMODINAMICO INFANTIL,"823,11",H
211030023,BIOPSIA DA MEDULA ESPINHAL,"342,70",A
211030031,NEUROTOMIA DIFERENCIADA NO TRIGEMIO,"2.484,00",A
211030066,NEUROTOMIA POR VIA INFRATENTORIAL,"1.831,23",A
211050105,POLISSONOGRAFIA,"504,31",H
211070106,OSTEOTOMIA DA COLUNA VIA ANTERIOR UM OU DOIS NIVEIS,"2.641,52",A
211070300,REDUCAO INCRUENTA DA(S) FRATURA(S) DO (S) OSSO(S) DO,"441,00",A
212010018,RESSECCAO DO GLOMO TIMPANICO,"1.100,30",A
212010026,CRIOPRECITADO DE FATOR VIII,"17,04",H
212010034,CONCENTRADO DE HEMACIAS,"17,04",H
212010050,ENXERTO PARCIAL INTRATEMPORAL NERVO FACIAL DO GANG,"1.368,45",A
214010040,TESTE RAPIDO PARA TRIAGEM DE INFECCAO PELO HIV (POR,"10,00",H
214010058,TESTE RAPIDO PARA TRIAGEM DE INFECCAO PELO HIV (POR,"10,00",H
301010048,TRATAMENTO CIRURGICO DA HERNIA DISCAL LOMBAR,"1.589,30",A
301010145,PEDIATRA PRIMEIRA CONSULTA,"8,75",H
301050074,INTERNACAO DOMICILIAR COM EQUIPE HOSPITALAR,"80,00",H
301060010,DIAGNOSTICO E/OU PRIMEIRO ATENDIMENTO EM CLINICA PE,"134,05",H
301060070,DIAGNOSTICO E/OU PRIMEIRO ATENDIMENTO EM CLINICA CIR,"134,05",H
301060088,DIAGNOSTICO E/OU PRIMEIRO ATENDIMENTO EM CLINICA ME,"134,05",H
301070016,TRATAMENTO CIRURGICO DA OSTEOMIELITE DA PELVE,"1.442,60",A
301070032,TRATAMENTO CIRURGICO DA FRATURA DA EXTREMIDADE PR,"1.470,35",A
301070040,RADICOTOMIA,"1.131,70",A
301070059,TRANSPOSICAO DO NERVO CUBITAL,"459,67",A
301070091,TRATAMENTO CIRURGICO DA HERNIA DISCAL DORSAL,"1.589,30",A
301080020,ACOLHIMENTO A PACIENTES DE CENTRO DE ATENCAO PSICO,"30,25",H
301080160,DESTRUICAO DE ESTRUTURAS CEREBRAIS PROFUNDAS POR,"1.831,23",A
301080178,DESTRUICAO DE ESTRUTURAS CEREBRAIS PROFUNDAS POR,"1.831,23",A
301090017,ATENDIMENTO EM HOSPITAL GERIATRICO ( UM TURNO ),"104,60",H
301090025,ATENDIMENTO EM HOSPITAL GERIATRICO ( DOIS TURNOS ),"115,85",H
301110026,EXCISAO E RECONSTRUCAO TOTAL DE LABIO EM PACIENTES,"1.021,66",A
303010010,DENGUE CLASSICA (PEDIATRIA),"533,15",H
303010029,DENGUE HEMORRAGICA (PEDIATRIA),"443,94",H
303010037,SEPTICEMIA (PEDIATRIA),"1.956,35",H
303010045,LEPTOSPIROSE (PEDIATRIA),"794,35",H
303010053,LEISHMANIOSE CUTANEO MUCOSA (PEDIATRIA),"492,35",H
303010061,ENTERO INFECCOES EM LACTENTE,"741,65",H
303010070,FEBRE AMARELA (PEDIATRIA),"533,15",H
303010088,HANSENIASE (PEDIATRIA),"565,85",H
303010096,HANTAVIROSES (PEDIATRIA),"287,07",H
303010100,LARVA MIGRANS INFECTADA GRAVE (CLINICA MEDICA),"614,80",H
303010118,HEPATITES INFECCIOSA (PEDIATRIA),"533,15",H
303010126,SIFILIS CONGENITA E ADQUIRIDA (PEDIATRIA),"794,35",H
303010134,SARAMPO (PEDIATRIA),"533,15",H
303010142,MENINGITE PURULENTA (PEDIATRIA),"1.437,09",H
303010150,MALARIA (PEDIATRIA),"492,35",H
303010169,MICOSES SISTEMICAS (PEDIATRIA),"1.956,35",H
303010177,TRACOMA (PEDIATRIA),"533,15",H
303010185,BOUBA (PEDIATRIA),"794,35",H
303010193,CAXUMBA (PEDIATRIA),"533,15",H
303010207,PARALISIA FLACIDA AGUDA (PEDIATRIA),"277,46",H
303010215,TUBERCULOSE PULMONAR,"1.396,59",H
303020032,ANEMIA APLASTICA,"922,35",H
303020040,ANEMIA HEMOLITICA CONGENITA OU ADQUIRIDA,"609,80",H
303020059,ANEMIA CARENCIAL,"528,95",H
303020067,PURPURA TROMBOCITOPENICA,"540,25",H
303020075,HEMOFILIAS E OUTROS DEFEITOS DE COAGULACAO OU OUTR,"1.046,25",H
303020083,AGRANULOCITOSE,"922,35",H
303030011,ATENDIMENTO EM REGIME HOSPITAL DIA-FIBROSE CISTICA (P,"93,85",H
303030020,KWASHIORKOR (PEDIATRIA),"1.381,00",H
303030038,DIABETES INSIPIDO,"766,40",H
303030046,TRANSTORNO DO METABOLISMO DOS GLICIDIOS,"440,00",H
303030054,DISFUNCAO TIREOIDIANA,"485,85",H
303030062,DISFUNCAO SUPRA-RENAL,"747,05",H
303040025,INTERNACAO PARA ADMINISTRACAO ESPECIFICA PARA O TRA,"1.464,49",H
303040041,ABSCESSO CEREBRAL,"1.217,25",H
303040050,COREIA AGUDA,"415,15",H
303040122,TRATAMENTO CONSERVADOR DE TUMOR CEREBRAL,"1.499,37",H
303040149,AVC AGUDO,"1.005,05",H
303040157,HIDROCEFALIA,"989,73",H
303040165,EPILEPSIAS,"245,65",H
303040173,DISTROFIAS MUSCULARES,"464,45",H
303040181,DOENCA DE PARKINSON,"742,75",H
303040190,DOENCA DOS NEURONIOS MOTORES CENTRAIS COM OU SEM,"718,20",H
303040203,DOENCAS HEREDO DEGENERATIVAS,"742,75",H
303040211,ENCEFALOPATIA HIPERTENSIVA,"210,39",H
303040220,ESCLEROSE GENERALIZADA PROGRESSIVA,"464,45",H
303040238,FRATURA DA COLUNA VERTEBRAL COM LESAO DA MEDULA E,"879,70",H
303040246,DOENCAS NEUROMUSCULARES HEREDITARIAS,"742,75",H
303040254,MIASTENIA GRAVE,"464,45",H
303040262,POLINEUROPATIAS,"617,15",H
303040270,POLIRRADICULITE E POLINEUROPATIA,"617,15",H
303040289,ESCLEROSE MULTIPLA,"718,20",H
303040297,PROCESSOS TOXI INFECCIOSOS DO CEREBRO E DA MEDULA,"617,15",H
303060018,ANEURISMA ARTERIAL COMPLICADO,"677,60",H
303060026,ARRITMIAS,"462,60",H
303060034,MIOCARDITE,"633,95",H
303060042,INSUFICIENCIA CORONARIANA AGUDA,"519,90",H
303060050,CHOQUE ANAFILATICO,"196,75",H
303060069,CHOQUE CARDIOGENICO EM ADULTO,"1.066,75",H
303060077,CHOQUE HIPOVOLEMICO EM CRIANCA,"528,94",H
303060085,DOENCA REUMATICA COM COMPROMETIMENTO CARDIACO,"633,95",H
303060093,COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU MEDIC,"439,60",H
303060107,CRISE HIPERTENSIVA,"408,30",H
303060115,DOENCA REUMATICA COM COMPROMETIMENTO CARDIACO,"633,95",H
303060123,DOENCAS REUMATICAS SEM CARDITE,"415,15",H
303060131,EDEMA AGUDO DE PULMAO,"1.221,68",H
303060140,EMBOLIAS OU ENFARTES PULMONARES,"1.026,96",H
303060158,ENDOCARDITE BACTERIANA AGUDA E SUB AGUDA,"1.957,95",H
303060166,ENDOCARDITE BACTERIANA AGUDA E SUB AGUDA,"1.957,95",H
303060174,EMBOLIAS OU ENFARTES PULMONARES,"1.026,96",H
303060182,HIPERTENSAO MALIGNA,"408,30",H
303060190,INFARTO AGUDO DO MIOCARDIO,"1.066,75",H
303060204,VASCULOPATIA PERIFERICA,"677,60",H
303060212,INSUFICIENCIA CARDIACA,"1.221,68",H
303060220,LINFADENITES INESPECIFICAS,"614,80",H
303060239,MIOCARDITE,"633,95",H
303060247,OUTRAS VASCULOPATIAS,"677,60",H
303060255,CHOQUE CARDIOGENICO EM ADULTO,"1.066,75",H
303060263,VASCULOPATIA PERIFERICA,"677,60",H
303060271,PERICARDITE AGUDA,"633,95",H
303060280,INSUFICIENCIA CORONARIANA AGUDA,"519,90",H
303060298,TROMBOFLEBITES PROFUNDAS,"677,60",H
303060301,ULCERA DE PERNA,"614,80",H
303070021,HEMOPERFUSAO,"93,58",H
303070064,AFECCOES ESOFAGIANAS,"411,50",H
303070072,CIRROSE HEPATICA,"924,70",H
303070080,PERITONITE,"547,30",H
303070099,COLITE ULCERATIVA OU COLON IRRITAVEL,"503,80",H
303070102,OUTRAS ANOMALIAS DO APARELHO DIGESTIVO,"1.032,06",H
303070110,ABSCESSO INTESTINAL,"547,30",H
303070129,COLECISTITE AGUDA,"547,30",H
303080043,PENFIGO FOLIACEO,"614,80",H
303080051,DERMATITES E ECZEMAS,"614,80",H
303080060,ESTAFILOCOCCIAS (PEDIATRIA),"614,80",H
303080078,ESTREPTOCOCCIAS (PEDIATRIA),"614,80",H
303080086,FARMACODERMIAS,"614,80",H
303080094,ESCLERODERMIA,"595,35",H
303090049,INSTALACAO DE TRACAO CUTANEA,"17,50",H
303090138,TRATAMENTO CONSERVADOR DA FRATURAS E ARRANCAMEN,"426,55",H
303090197,TRATAMENTO CONSERVADOR DE FRATURAS INTERESSANDO,"426,55",H
303090200,TRATAMENTO CONSERVADOR DA FRATURA DO ACETABULO,"426,55",H
303090235,"TRATAMENTO CONSERVADOR DA FRATURA DA COLUNA, COM ","902,50",H
303090243,"TRATAMENTO CONSERVADOR DA FRATURA DA COLUNA, SEM ","902,50",H
303090294,LUMBAGO AGUDO,"407,09",H
303090316,ARTRITE,"488,95",H
303100010,INFECCAO DA PAREDE ABDOMINAL POS-CESARIANA,"355,50",H
303100028,ECLAMPSIA,"193,25",H
303100036,PRE-ECLAMPSIA GRAVE,"193,25",H
303100044,INTERCORRENCIAS CLINICAS NA GRAVIDEZ EM GESTANTE DE,"1.000,97",H
303100052,GRAVIDEZ MOLAR SEM PARTO,"181,00",H
303110015,CONDRODISTROFIA,"488,95",H
303110023,ABERRACOES CROMOSSOMICAS,"893,25",H
303110031,ESPINHA BIFIDA,"989,73",H
303110040,ANOMALIA CONGENITA DO CORACAO E APARELHO CIRCULAT,"1.400,10",H
303110058,ATRESIA DAS COANAS,"999,70",H
303110066,NEFROPATIAS CONGENITAS,"977,55",H
303110074,ANOMALIA CONGENITA DO SISTEMA GLANDULAR,"747,05",H
303110082,NEUROFIBROMATOSE,"617,15",H
303110090,OUTRAS ANOMALIAS CONGENITAS DO SISTEMA NERVOSO,"989,73",H
303110104,ICTIOSE,"614,80",H
303110112,DIVERTICULECTOMIA DOS INTESTINOS,"1.125,49",H
303130016,PACIENTE SOB CUIDADOS PROLONGADOS DEVIDO A CAUSAS,"217,89",H
303130024,PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDAD,"217,89",H
303130032,PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDAD,"217,89",H
303130040,PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDAD,"217,89",H
303130059,PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDAD,"217,89",H
303130067,PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDAD,"217,89",H
303130075,PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDAD,"217,89",H
303130083,TRATAMENTO DA HANSENIASE COM LESOES EXTENSAS (PED,"65,15",H
303140020,MUCOVISCIDOSE (PEDIATRIA),"1.216,78",H
303140038,ABSCESSO PULMONAR,"1.026,96",H
303140046,ENFISEMA PULMONAR,"818,02",H
303140054,PNEUMOCONIOSE,"818,02",H
303140062,COR PULMONALE DESCOMPENSADO,"1.221,68",H
303140070,OTITE / OTOMASTOIDITE,"359,75",H
303140089,FIBROSES INTERSTICIAIS DIFUSAS DO PULMAO,"818,02",H
303140097,HEMORRAGIAS DAS VIAS RESPIRATORIAS,"413,65",H
303140100,LARINGOTRAQUEOBRONQUITE,"413,65",H
303140119,PNEUMOTORAX,"1.026,96",H
303140127,ABSCESSO RETROFARINGEO OU PERIAMIGDALIANO,"413,65",H
303140135,INSUFICIENCIA RESPIRATORIA AGUDA,"1.216,78",H
303140143,BRONQUIOLITE AGUDA,"413,65",H
303140151,PNEUMOPATIAS AGUDAS,"1.216,78",H
303150017,ORQUITE E EPIDIDIMITE,"170,45",H
303150025,SINDROME NEFROTICA,"977,55",H
303150033,ANEXITE AGUDA,"489,40",H
303150041,NEFROPATIAS INTERSTICIAIS,"977,55",H
303150050,OUTRAS AFECCOES DO APARELHO GENETICO URINARIO,"489,40",H
303150068,NEFROPATIAS METABOLICAS,"977,55",H
303160012,ENTERITE NECROSANTE,"503,80",H
303160020,INFECCOES PERINATAIS,"574,30",H
303160039,OUTRAS AFECCOES DO RECEM-NASCIDO,"574,30",H
303160047,DOENCA HEMORRAGICA DO RECEM NASCIDO,"574,30",H
303160055,PREMATURIDADE,"1.546,82",H
303160063,SINDROME DA A.P.I. DO RECEM NASCIDO (MEMBRANA HIALIN,"1.114,04",H
303160071,TOCOTRAUMATISMOS,"574,30",H
303170093,TRATAMENTO EM PSIQUIATRIA EM HOSPITAL PSIQUIATRICO -,"57,70",H
303170107,TRATAMENTO EM PSIQUIATRIA EM HOSPITAL DIA,"125,36",H
303180013,TRATAMENTO DA AIDS,"0,00",H
303180030,AFECCOES DO APARELHO DIGESTIVO - AIDS,"1.042,97",H
303180048,AFECCOES DO SISTEMA NERVOSO - AIDS,"2.340,60",H
303180056,AFECCOES DO SISTEMA RESPIRATORIO - AIDS,"2.211,60",H
303180064,DOENCAS DISSEMINADAS - AIDS,"1.956,30",H
303180072,TRATAMENTO DA AIDS EM HOSPITAL DIA,"78,45",H
303190019,TRATAMENTO EM REABILITACAO,"170,75",H
304010111,INTERNACAO PARA RADIOTERAPIA EXTERNA ( COBALTOTERA,"40,39",H
304080020,INTERNACAO PARA QUIMIOTERAPIA DE ADMINISTRACAO CON,"1.057,07",H
304080039,INTERNACAO PARA QUIMIOTERAPIA DE LEUCEMIAS AGUDAS,"1.251,58",H
304080047,QUIMIOTERAPIA INTRA-ARTERIAL,"589,61",H
304080063,"QUIMIOTERAPIA INTRACAVITARIA ( INTRA-PLEURAL, INTRA-PE ","592,51",H
304090018,IODOTERAPIA DO CANCER DIFERENCIADO DA TIREOIDE DOSE,"1.132,93",H
304090026,IODOTERAPIA DO CANCER DIFERENCIADO DA TIREOIDE DOSE,"906,31",H
304090034,IODOTERAPIA DO CANCER DIFERENCIADO DA TIREOIDE DOSE,"1.237,51",H
304100013,INTERCORRENCIAS CLINICAS DE PACIENTE ONCOLOGICO,"299,09",H
305010034,DIALISE PERITONEAL PARA PACIENTES RENAIS AGUDOS,"93,58",H
305010042,HEMODIALISE CONTINUA,"99,96",H
305010131,HEMODIALISE PARA PACIENTES RENAIS AGUDOS,"93,58",H
305010140,HEMOFILTRACAO,"99,96",H
305010158,HEMOFILTRACAO CONTINUA,"99,96",H
305010174,DESEQUILIBRIO POS DIALISE,"281,95",H
305010190,ULTRAFILTRACAO CONTINUA,"93,58",H
305020013,PIELONEFRITE,"489,40",H
305020021,COLICA NEFRETICA,"395,70",H
305020030,HIPERTENSAO NEFROGENA E RENOVASCULAR,"408,30",H
305020048,INSUFICIENCIA RENAL AGUDA,"587,95",H
305020056,INSUFICIENCIA RENAL CRONICA,"977,55",H
306010020,AMIGDALECTOMIA,"457,36",A
306010038,LABIRINTECTOMIA (MEMBRANOSA OU OSSEA) SEM AUDICAO,"1.182,85",A
306020017,PLASMAFERESE TERAP CORR A  UNID ADULT PLASMA INDI,"1,00",H
306020041,SANGRIA TERAPEUTICA,"4,70",H
306020050,MODULO TRANSFUSIONAL,"8,39",H
306020068,MODULO TRANSFUSIONAL,"8,39",H
306020076,MODULO TRANSFUSIONAL,"8,39",H
306020084,MODULO TRANSFUSIONAL,"8,39",H
306020106,MODULO TRANSFUSIONAL,"8,39",H
306020114,MODULO TRANSFUSIONAL,"8,39",H
306020122,SANGUE TOTAL IRRADIADO OU COMPONENTES IRRADIADOS,"17,04",H
306020130,EXOSANGUINEOTRANSFUSAO,"53,34",H
306020149,MODULO TRANSFUSIONAL,"8,39",H
307010058,TRATAMENTO CIRURGICO DA OSTEOMIELITE DO CRANIO,"1.383,82",A
308010019,LACERACOES E FERIMENTOS DE LOCALIZACOES DIVERSAS,"439,60",H
308010027,ACIDENTE POR ASPIRACAO OU INGESTAO DE ALIMENTO OU O,"439,60",H
308010035,TRATAMENTO CLINICO DOS TRAUMATISMO INTERNOS COM L,"442,70",H
308010043,LUXACOES E FERIMENTOS COM GRAVE COMPROMETIMENTO,"442,70",H
308020014,HEDIAFILTRACAO CONTINUA,"99,96",H
308020022,ACIDENTE POR PICADA DE ANIMAIS PECONHENTOS,"439,60",H
308020030,INTOXICACAO POR MEDICAMENTOS,"297,95",H
308030010,ACIDENTE POR PENETRACAO DE CORPO ESTRANHO EM ORIF,"439,60",H
308030028,ACIDENTE POR AFOGAMENTO,"439,60",H
308030036,ACIDENTE POR SUBSTANCIA CORROSIVA,"439,60",H
308040015,COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU MEDIC,"439,60",H
308040023,COMPLICACAO VACINACAO ANTI RABICA (PEDIATRIA),"277,46",H
309010039,GASTROSTOMIA ENDOSCOPICA PERCUTANEA PEDIATRICA IN,"527,50",H
309010047,NUTRICAO ENTERAL ADULTO,"30,00",H
309010055,NUTRICAO ENTERAL NEONATAL,"15,00",H
309010063,NUTRICAO ENTERAL PEDIATRICA,"20,00",H
309010071,NUTRICAO PARENTERAL ADULTO,"60,00",H
309010080,NUTRICAO PARENTERAL NEONATAL,"30,00",H
309010098,NUTRICAO PARENTERAL PEDIATRICA,"45,00",H
309010101,PASSAGEM SONDA NASO ENTERICA INCLUINDO MATERIAL,"28,00",H
310010020,ATENDIMENTO AO RN EM SALA DE PARTO II,"70,00",H
310010039,PARTO NORMAL - EXCLUSIVAMENTE PARA HOSPITAIS AMIGO,"1.157,65",H
310010047,PARTO NORMAL EM GESTANTE DE ALTO RISCO,"1.339,12",H
401010015,CURATIVO CIRURGICO SOB ANESTESIA SUBSEQUENTE A TRA,"52,50",H
401020010,ENXERTO COMPOSTO,"917,30",H
401020029,ENXERTO DERMO EPIDERMICO,"566,97",H
401020037,ENXERTO LIVRE DE PELE TOTAL,"663,37",H
401020045,"EXCISAO E ENXERTO DE PELE( HEMANGIOMA, NEVUS OU TUM ","499,77",H
401020053,EXCISAO E SUTURA COM PLASTICA EM Z NA PELE,"489,92",H
401020061,EXERESE DE CISTO BRANQUIAL,"727,03",H
401020070,EXERESE DE CISTO DERMOIDE,"235,94",H
401020088,EXERESE E PLASTICA DE CISTO SACRO COCCIGEO,"403,95",H
401020096,EXERESE DE CISTO TIREOGLOSSO,"694,56",H
401020100,EXTIRPACAO E SUPRESSAO DE LESAO DA PELE E DO TECIDO,"235,94",H
401020118,HOMOENXERTIA ATO CIRURGICO PRE E POS OPERATORIOS,"566,97",H
401020126,ESCALPO PARCIAL,"964,95",H
401020134,ESCALPO TOTAL,"1.878,50",H
401020142,HIPERQUERATOSE PLANTAR COM CORRECAO PLASTICA INCL,"395,58",H
401020150,TRATAMENTO CIRURGICO DO SINUS PRE-AURICULAR,"455,39",H
401020169,ESTAGIOS SUBSEQUENTES DE ENXERTIA (NO MAXIMO DE  ),"4,00",H
402010019,EXTIRPACAO DE BOCIO INTRATORACICO POR VIA TRANSEST,"2.082,84",H
402010027,PARATIREOIDECTOMIA,"1.860,14",H
402010035,TIROIDECTOMIA PARCIAL,"1.192,45",H
402010043,TIROIDECTOMIA TOTAL,"1.192,45",H
402010051,TIROIDECTOMIA TOTAL COM ESVAZIAMENTO GANGLIONAR,"2.425,45",H
402020014,SUPRARRENALECTOMIA BILATERAL,"1.903,11",H
402020022,SUPRARRENALECTOMIA UNILATERAL,"1.761,78",H
404010016,ADENOIDECTOMIA,"424,36",H
404010024,AMIGDALECTOMIA,"457,36",H
404010032,AMIGDALECTOMIA COM ADENOIDECTOMIA E PACIENTES COM,"706,46",H
404010040,ANTROTOMIA DA MASTOIDE (DRENAGEM DE OTITE NO LACTE,"840,14",H
404010059,DRENAGEM DE ABSCESSO FARINGEO,"383,55",H
404010067,INCISAO E DRENAGEM DE ABSCESSO PERIAMIGDALIANO,"383,55",H
404010083,INCISAO E DRENAGEM DO SACO ENDO-LINFATICO (SHUNT) C,"1.131,78",H
404010105,ESTAPEDECTOMIA,"1.099,98",H
404010113,LARINGOSCOPIA COM EXERESE DE PAPILOMA,"427,04",H
404010121,EXCISAO DE TUMOR DE GLANDULA PAROTIDA,"936,10",H
404010130,EXTIRPACAO DE TUMOR DO CAVUM,"415,56",H
404010148,IMPLANTE COCLEAR,"3.000,66",H
404010164,NEURECTOMIA VESTIBULAR TRANSFOSSA MEDIA COM AUDIC,"1.633,80",H
404010172,LARINGECTOMIA PARCIAL,"1.335,87",H
404010180,LARINGECTOMIA TOTAL,"1.429,63",H
404010199,LARINGECTOMIA TOTAL COM ESVAZIAMENTO CERVICAL,"2.353,87",H
404010202,LARINGORRAFIA,"1.189,59",H
404010210,MASTOIDECTOMIA RADICAL,"1.018,41",H
404010229,MASTOIDECTOMIA SUBTOTAL,"840,14",H
404010237,MICROCIRURGIA OTOLOGICA,"441,38",H
404010288,RESSECCAO DO GLOMO TIMPANICO,"1.100,30",H
404010318,LARINGOSCOPIA DIRETA PARA RETIRADA DE CORPO ESTRAN,"353,04",H
404010326,SINUSOTOMIA ETMOIDAL,"637,45",H
404010334,SINUSOTOMIA ESFENOIDAL,"566,52",H
404010350,TIMPANOPLASTIA ( TIPO I - BILATERAL ),"1.061,86",H
404010377,TRAQUEOTOMIA (INCLUSIVE CURATIVOS),"645,10",H
404010385,CIRURGIA DA ESTENOSE DO CONDUTO AUDITIVO,"806,08",H
404010407,CIRURGIA DE OZENA,"524,75",H
404010415,TURBINECTOMIA,"422,77",H
404020011,ALONGAMENTO DE COLUMELA,"637,45",H
404020038,TRATAMENTO CIRURGICO DA FISTULA ORO-NASAL,"872,12",H
404020046,FECHAMENTO DE FISTULA SALIVAR COM RETALHO,"870,98",H
404020062,ENXERTO PARCIAL INTRATEMPORAL NERVO FACIAL DO GANG,"1.368,45",H
404020070,EXCISAO DE GLANDULA SALIVAR,"936,10",H
404020089,EXCISAO DE RANULA,"342,85",H
404020119,EXCISAO PARCIAL DE LABIO COM ENXERTO LIVRE,"936,10",H
404020135,"EXPLORACAO, DESCOMPRESSAO TOTAL DO NERVO FACIAL ","1.337,81",H
404020143,GLOSSECTOMIA PARCIAL,"857,10",H
